locID,cityID,streetAddress,roadChar
385,6,95 Cedar St,Not at a Junction
386,12,Barrett St,Y - Intersection
387,17,1640 Panton Road,Not at a Junction
388,59,Main St,Four-way Intersection
389,73,2416 COX DISTRICT ROAD,Not Reported
390,2,1795 Williston Road,Not at a Junction
391,122,US RT 4,Not at a Junction
392,96,I 89 N MM120,Not Reported
393,121,N MAIN ST,Not Reported
394,133,4783 Route 112,Not at a Junction
395,3,1158 Main St,Not at a Junction
396,29,VT Route 107,T - Intersection
397,2,1675 Shelburne Rd,Not Reported
398,55,Bugbee St,On Ramp
399,6,Cotton Mill Hill Rd,T - Intersection
400,73,Not Reported,T - Intersection
401,19,221 COLCHESTER RD,Not Reported
402,30,I 89 S MM54,Not Reported
403,100,5343 Us Rt 7,T - Intersection
404,9,VT Route 103,Not at a Junction
405,12,98 University Rd #Centennial Field,Not Reported
406,71,3827 US RT 7,Not at a Junction
407,11,514 US Route 7 South,Y - Intersection
408,12,Main St,Four-way Intersection
409,13,Court St Ext,T - Intersection
410,69,140 Casino Rd,Not at a Junction
411,134,574 VT ROUTE 100 ,Not Reported
412,55,I 91 N MM70;AREA OF EXIT 10 ,Not Reported
413,13,372 Mainelli Road,Not Reported
414,15,80 Pierpoint Ave,Not at a Junction
415,69,2549 Hebert Road,Not at a Junction
416,102,497 W Enosburg Rd,Not at a Junction
417,135,856 VT ROUTE 12 ,Not Reported
418,136,BROWNS CORNER RD,Not Reported
419,64,N Main St,Not at a Junction
420,43,I 91 N MM67; MM67/60NB ,Not Reported
421,13,9 Washington Street,Not Reported
422,28,210 Northside Drive,Four-way Intersection
423,137,289 Main Rd,Not at a Junction
424,138,O'DONNELL ROAD,Not at a Junction
425,139,4110 VT RT 100,Not at a Junction
426,98,VT RT 14,Not Reported
427,59,I 89 N MM90,Not Reported
428,84,46 BARBER FARM RD; PAST FITTS SIMMONS ,Not Reported
429,19,21 Essex Way,Parking Lot
430,7,South Street,T - Intersection
431,59,I-89 South,Not at a Junction
432,113,HITCHCOCK RD,Not Reported
433,59,E Allen St,Off Ramp
434,124,1184 Hale Rd,Not Reported
435,2,770 Shelburne Rd,Parking Lot
436,13,261 Happy Valley Rd,Not at a Junction
437,111,Not Reported,Not at a Junction
438,6,20 Technology Dr,Not Reported
439,19,Maple St,T - Intersection
440,28,Houghton Lane,Parking Lot
441,6,Putney Rd,Not Reported
442,21,US Route 2,Not at a Junction
443,140,VT RT 100C,Not at a Junction
444,82,156 Mitchell Brook Rd,Not at a Junction
445,19,2 SUSIE WILSON RD,Parking Lot
446,42,2518 Mountain Rd.,Not at a Junction
447,63,1400 Block N MAIN ST,Not Reported
448,141,ETHAN ALLEN HWY,Not Reported
449,50,700 Block VT ROUTE 122,Not Reported
450,19,3 PEARL ST,Four-way Intersection
451,19,144 MAIN ST,Parking Lot
452,123,Us 4,T - Intersection
453,9,Rt. 103,T - Intersection
454,142,I 91 S MM92,Not Reported
455,143,BRADFORD PARK AND RIDE,Not Reported
456,28,Vermont Route 279,Not at a Junction
457,23,2600 Block WATERBURY-STOWE RD,Not Reported
458,10,44 Mountain View Road,Four-way Intersection
459,82,Turnpike Rd,Not at a Junction
460,13,48 Court St,T - Intersection
461,39,LAMKIN ST,Not Reported
462,144,9800 Block VT ROUTE 105,Not Reported
463,19,60 PEARL ST,Parking Lot
464,92,668 UPPER PLEASANT VALLEY RD ,Not Reported
465,19,ESSEX WAY,Not Reported
466,60,Pond Road,T - Intersection
467,12,Plattsburg Ave,Y - Intersection
468,96,50 South River Street,Not at a Junction
469,47,Upper Prospect St,Not at a Junction
470,145,392 Barber,Not at a Junction
471,146,Long Hill Rd,Not at a Junction
472,71,1029AS US RT 7,Driveway
473,87,I 89 South,Not at a Junction
474,147,515 Park HIll Road,Not at a Junction
475,15,81 State St,Parking Lot
476,2,150 Dorset St,T - Intersection
477,36,Main St,Not at a Junction
478,11,Not Reported,Not at a Junction
479,13,260 Court St Ext,Parking Lot
480,10,South Brownell Rd,T - Intersection
481,80,58 COMMONS DR ,Not Reported
482,13,Golf Course Rd,T - Intersection
483,2,861 Williston Road,Not at a Junction
484,7,449 River Street,Four-way Intersection
485,12,Riverside Ave,Not at a Junction
486,148,5442 VT 22A,Y - Intersection
487,6,476 Canal St,Parking Lot
488,60,Irish Hill,Four-way Intersection
489,19,380 OLD STAGE RD,Not at a Junction
490,125,Brook Rd,Not at a Junction
491,97,St Albans Rd,T - Intersection
492,114,Not Reported,Not at a Junction
493,32,Dover Hill Road,T - Intersection
494,1,VT Route 100 South,Not at a Junction
495,3,US RT 7,Not at a Junction
496,59,W Allen St,Not at a Junction
497,149,VT Route 105,T - Intersection
498,150,INTERSTATE 89,Not at a Junction
499,6,896 Putney Rd,Parking Lot
500,151,US Route 2,Not at a Junction
501,21,Roosevelt Highway,Not at a Junction
502,13,Main St,T - Intersection
503,98,VT RT 14 & US RT 5,T - Intersection
504,42,"Stowe Hollow Rd, Stowe,VT",Y - Intersection
505,21,Bay Road,Not at a Junction
506,152,3487 VT RT 100,Not at a Junction
507,104,W Main St,Not at a Junction
508,52,475 Clarendon Ave,Not at a Junction
509,19,90 CENTER RD,Parking Lot
510,47,Holden Rd,Not at a Junction
511,94,147 MOUNT PHILO RD ,Not Reported
512,153,FAIRFIELD POND ,Not Reported
513,21,I 89 N; 1/2 MILE BEFORE EX 16 ,Not Reported
514,15,217 N Main Street,Not Reported
515,70,N Main St,Not at a Junction
516,147,5887 Vt Rt 30,Not at a Junction
517,12,S Willard St,Not at a Junction
518,28,239 Beech Street,Not at a Junction
519,2,Not Reported,On Ramp
520,47,Miller Rd Ext,Four-way Intersection
521,2,29 Winesap Lane,Driveway
522,55,Woodstock Road,T - Intersection
523,21,Colchester Pond Road,Not at a Junction
524,153,1766 Dodd Road,Not at a Junction
525,7,335 River Street,Not at a Junction
526,12,299 Main St,Not at a Junction
527,43,Not Reported,Not at a Junction
528,11,I89 Northbound MM 104.8,Not at a Junction
529,12,834 North Ave,Not at a Junction
530,23,4900 Block WATERBURY-STOWE RD,Not Reported
531,134,1240 Vt Rt 100A,Not Reported
532,6,480 Western Ave,Not at a Junction
533,60,5332 Shelburne Rd,Four-way Intersection
534,55,Woodstock Road,Not Reported
535,28,US Route 7 South,Not at a Junction
536,140,Lower Main St E,Driveway
537,31,Vermont Route 15E,T - Intersection
538,2,I-189 East On Ramp,On Ramp
539,12,Pearl St,Not at a Junction
540,7,River St,Not at a Junction
541,134,Not Reported,Not at a Junction
542,70,151 N Main St,Not at a Junction
543,64,Fairfax St,T - Intersection
544,1,39 East Main Street,Driveway
545,2,Route 7,T - Intersection
546,115,PAINE TURNPIKE S.,Not Reported
547,59,62 Union St,Not at a Junction
548,96,Bushey Rd,T - Intersection
549,42,Pucker St,T - Intersection
550,115,I 89 N MM48; MM48/6 ,Not Reported
551,154,COOLIDGE HWY,Not Reported
552,29,VT Rt 107,T - Intersection
553,155,100 W MAIN ST ,Not Reported
554,60,BARSTOW ROAD,Not Reported
555,55,North Hartland Rd,Not at a Junction
556,12,47 S Winooski Ave,Parking Lot
557,19,87 PEARL ST,Not at a Junction
558,11,169 Red Clover Way,Driveway
559,10,Marshall Avenue,Four-way Intersection
560,19,Lincoln,T - Intersection
561,156,694 MACDONALD RD ,Not Reported
562,99,VT RT 116,Four-way Intersection
563,107,US Route 4,Not at a Junction
564,30,Interstate 89,Not at a Junction
565,59,Main St,Traffic circle / roundabout
566,157,2236 Rt 100,Four-way Intersection
567,21,I 89 S MM94,Not Reported
568,84,300 Block VT ROUTE 15,Not Reported
569,19,1 Center Rd,Four-way Intersection
570,91,I 89 S MM34,Not at a Junction
571,143,I 91 S MM101,Not Reported
572,84,VT RT 117,Not at a Junction
573,59,1 East St,Parking Lot
574,19,SOUTH ST,Four-way Intersection
575,6,Flat St,Parking Lot
576,19,Kellogg Rd,Not at a Junction
577,2,Shelburne Road,Four-way Intersection
578,12,N Willard St,Four-way Intersection
579,13,Court St,Not at a Junction
580,60,4180 Spear St,Not at a Junction
581,106,4400 Block VT ROUTE 31,Not Reported
582,15,Allen St,Not at a Junction
583,158,VT ROUTE 16; S OF GLOVER VILLAGE B/W GLO,Not Reported
584,159,Not Reported,Not at a Junction
585,82,I 91 S MM78,Not Reported
586,11,US Route 2,Not at a Junction
587,121,US Route 7,Not at a Junction
588,65,1662 BLACK POND RD ,Not Reported
589,123,Main St,Y - Intersection
590,160,Brookline Rd,Y - Intersection
591,12,I 89 N MM88  S,Not Reported
592,70,75 Perry Street,T - Intersection
593,161,Sadie Foss Rd,Not at a Junction
594,15,CURTIS AVENUE,Not at a Junction
595,58,VT Route 15,Not at a Junction
596,12,Battery St,Four-way Intersection
